id,name,category,inStock,baseline,unitCost,vendor,location,container,buyUrl,onshapeUrl,description,hasPhoto,drawingCount
fdb42ae6-2244-4ff2-8775-0c67a4db0fd1,40T HTD 5 Belt,,2,2,0,Aliexpress,Main Storage Room,Belts less than 100T,,,,,0
b06505f6-aef7-4fbd-b596-97e80d072989,42T 20DP 1/2in Hex Gear,,1,1,0,REV Robotics,Main Storage Room,Gears,,,,,0
d5f07eaa-7237-46ca-ab9b-be26b92400cb,45T 20DP Gear,,9,8,0,,Main Storage Room,Gears,,,,,0
425c3f18-ab7d-4339-98d2-37ca5292f6d2,45T HTD 5 Belt,,4,4,0,Aliexpress,Main Storage Room,Belts less than 100T,,,,,0
19aad2bf-dc9e-42ab-a5fa-c4f4c2574bcf,48T 20DP Gear,,6,6,0,,Main Storage Room,Gears,,,,,0
b185ae01-d68d-47f4-9148-396e0bf0d07e,48T HTD5 Belt,,3,3,0,Aliexpress,Main Storage Room,Belts less than 100T,,,,,0
92afe387-2189-4882-9fd9-3277d8db04d1,"5"" Colson Wheel",,7,7,0,,Main Storage Room,"5 & 6"" Colsons",,,,yes,0
fd83bd12-be54-4d3f-967a-18b25bfd64b0,50T 20DP Gear,,11,10,0,,Main Storage Room,Gears,,,,,0
c704efc3-edbc-4701-a23d-d96ae0ef666f,52T HTD5 Belt,,1,1,0,Aliexpress,Main Storage Room,Belts less than 100T,,,,,0
7bf5a999-b873-46c4-af98-7eb4d2c56a02,56T 20DP Gear,,6,6,0,AndyMark,Main Storage Room,Gears,,,,,0
cd20c0c3-0ee8-4aec-8de6-f7bef82965e7,58T 20DP Gear,,1,1,0,,Main Storage Room,Gears,,,,,0
9a6d3bc7-f7c8-46de-8e26-8d8bfa7179a2,59T HTD5 Belt,,2,2,0,Aliexpress,Main Storage Room,Belts less than 100T,,,,,0
00833ada-944f-4d63-bb55-2a944b3820da,"6"" Colson Wheel",,17,12,0,,Main Storage Room,"6"" Colsons",,,,yes,0
55861e50-f14f-4c37-b852-0f45120af7e2,60T 20DP Gear,,11,11,0,,Main Storage Room,Gears,,,,,0
b37ed4c7-72b5-464b-9011-4f176ca5befb,60T 32DP Gear,,1,1,0,AndyMark,Main Storage Room,Gears,,,,,0
09979853-27c8-41d0-9dc0-e21f7cacb2dc,70T GT2 3mm Belt,,3,3,0,West Coast Products,Main Storage Room,Belts less than 100T,,,,,0
6b9e5391-3654-43e7-92cb-651d9ddfbdb6,72T 20DP Gear,,1,1,0,VEX Robotics,Main Storage Room,Gears,,,,,0
36919c3d-cf11-4c2e-9e77-adfc12f25301,75T HTD5 Belt,,5,5,0,Aliexpress,Main Storage Room,Belts less than 100T,,,,,0
0637ac3d-c513-4a37-b0e3-e9f064833b07,775 PRO,,2,0,0,VEX Robotics,Main Storage Room,Motors CIM,,,,,0
438da986-aecb-4f01-a46f-76fdc42cf680,80T HTD5 Belt,,5,5,0,Aliexpress,Main Storage Room,Belts less than 100T,,,,,0
18d63e29-2a37-4fef-b7fe-efc86f444de5,84T 20DP Gear,,1,1,0,VEX Robotics,Main Storage Room,Gears,,,,,0
ac4cc69e-1bd3-4b14-b477-ed971c905ece,84T 20DP Gear,,1,1,0,West Coast Products,Main Storage Room,Gears,,,,,0
e884518a-faef-4d87-ab56-b19688f4613e,85T HTD5 Belt,,6,6,0,Aliexpress,Main Storage Room,Belts less than 100T,,,,,0
